scale,scale_name,dimension,cosine_sim_hedonic,cosine_sim_eudaimonic,delta
PHQ-9,Patient Health Questionnaire-9,Foundational claim,0.17138629068652578,0.08854729659300864,0.08283899409351714
PHQ-9,Patient Health Questionnaire-9,Evaluative criterion,0.34240062244841907,0.23285596732841496,0.10954465512000411
PHQ-9,Patient Health Questionnaire-9,Time horizon,0.3571048074599188,0.20984009362459588,0.1472647138353229
PHQ-9,Patient Health Questionnaire-9,Adversity,0.23097977232464206,0.1153153361142839,0.11566443621035816
PHQ-9,Patient Health Questionnaire-9,Measurement proxies,0.5048934042753671,0.3623515921453342,0.14254181213003292
PHQ-9,Patient Health Questionnaire-9,Central tension,0.24753708302473787,0.18727922339850722,0.06025785962623065
GAD-7,Generalized Anxiety Disorder 7-item Scale,Foundational claim,0.13217298352056006,0.09102425469071762,0.04114872882984244
GAD-7,Generalized Anxiety Disorder 7-item Scale,Evaluative criterion,0.28585018895455316,0.21611003734024314,0.06974015161431002
GAD-7,Generalized Anxiety Disorder 7-item Scale,Time horizon,0.3145381786305732,0.14253259631128423,0.17200558231928897
GAD-7,Generalized Anxiety Disorder 7-item Scale,Adversity,0.19185046159703134,0.09022279158772206,0.10162767000930928
GAD-7,Generalized Anxiety Disorder 7-item Scale,Measurement proxies,0.4436309933499636,0.28021268163888835,0.16341831171107524
GAD-7,Generalized Anxiety Disorder 7-item Scale,Central tension,0.18431027128652588,0.14310531013486594,0.04120496115165995
BDI-II,Beck Depression Inventory-II,Foundational claim,0.1778989500762871,0.08922354749007444,0.08867540258621265
BDI-II,Beck Depression Inventory-II,Evaluative criterion,0.32669613519500773,0.2195694671288818,0.10712666806612592
BDI-II,Beck Depression Inventory-II,Time horizon,0.30856339112774755,0.17862913764561728,0.12993425348213028
BDI-II,Beck Depression Inventory-II,Adversity,0.23361422230541518,0.11718389727042655,0.11643032503498862
BDI-II,Beck Depression Inventory-II,Measurement proxies,0.5030432611536537,0.35893834337980945,0.14410491777384427
BDI-II,Beck Depression Inventory-II,Central tension,0.23008585650652935,0.18025315947439124,0.04983269703213811
BAI,Beck Anxiety Inventory,Foundational claim,0.105101150410714,0.047216124506335055,0.05788502590437894
BAI,Beck Anxiety Inventory,Evaluative criterion,0.28985137105645553,0.20077834690071472,0.08907302415574081
BAI,Beck Anxiety Inventory,Time horizon,0.3102139100630763,0.11452192883602996,0.19569198122704634
BAI,Beck Anxiety Inventory,Adversity,0.23341812666086748,0.08252805255949669,0.15089007410137079
BAI,Beck Anxiety Inventory,Measurement proxies,0.4702358943378431,0.2936340555995973,0.17660183873824575
BAI,Beck Anxiety Inventory,Central tension,0.20576907358394791,0.13432577054807626,0.07144330303587165
DASS-21,Depression Anxiety Stress Scales-21,Foundational claim,0.1988859628506422,0.13058019077891858,0.06830577207172361
DASS-21,Depression Anxiety Stress Scales-21,Evaluative criterion,0.3842445757891375,0.25581248615502394,0.12843208963411357
DASS-21,Depression Anxiety Stress Scales-21,Time horizon,0.38621438072979863,0.2282893702926465,0.15792501043715212
DASS-21,Depression Anxiety Stress Scales-21,Adversity,0.31875558032686135,0.17075922546117872,0.14799635486568263
DASS-21,Depression Anxiety Stress Scales-21,Measurement proxies,0.5674168176884394,0.41297296393435046,0.15444385375408898
DASS-21,Depression Anxiety Stress Scales-21,Central tension,0.2835959602706455,0.25998097009031984,0.023614990180325646
SCL-90-R,Symptom Checklist-90-Revised,Foundational claim,0.17429793447614594,0.09932393719048926,0.07497399728565668
SCL-90-R,Symptom Checklist-90-Revised,Evaluative criterion,0.34407249743049517,0.23040018210090074,0.11367231532959443
SCL-90-R,Symptom Checklist-90-Revised,Time horizon,0.3187130482165198,0.1879659077982112,0.1307471404183086
SCL-90-R,Symptom Checklist-90-Revised,Adversity,0.26825688779613166,0.1314620332864308,0.13679485450970086
SCL-90-R,Symptom Checklist-90-Revised,Measurement proxies,0.5328946439151807,0.39722173242821346,0.13567291148696725
SCL-90-R,Symptom Checklist-90-Revised,Central tension,0.2109538900985336,0.17941752239083808,0.03153636770769552
MADRS,Montgomery-Asberg Depression Rating Scale,Foundational claim,0.17835029298508576,0.10001521006604519,0.07833508291904057
MADRS,Montgomery-Asberg Depression Rating Scale,Evaluative criterion,0.34394571691904197,0.23355565110426268,0.11039006581477928
MADRS,Montgomery-Asberg Depression Rating Scale,Time horizon,0.32078539586160004,0.18079664123338524,0.1399887546282148
MADRS,Montgomery-Asberg Depression Rating Scale,Adversity,0.23528110048814044,0.10975506905573362,0.12552603143240681
MADRS,Montgomery-Asberg Depression Rating Scale,Measurement proxies,0.5224774240884282,0.34262635674220365,0.17985106734622458
MADRS,Montgomery-Asberg Depression Rating Scale,Central tension,0.2427164994959199,0.17611549718664132,0.06660100230927857
HAM-D,Hamilton Depression Rating Scale,Foundational claim,0.14003920348519283,0.07691330960911391,0.06312589387607892
HAM-D,Hamilton Depression Rating Scale,Evaluative criterion,0.29924250459944857,0.2243015775974192,0.07494092700202937
HAM-D,Hamilton Depression Rating Scale,Time horizon,0.3232784111545881,0.16559817155218048,0.15768023960240762
HAM-D,Hamilton Depression Rating Scale,Adversity,0.20900370571379534,0.0839248412491953,0.12507886446460004
HAM-D,Hamilton Depression Rating Scale,Measurement proxies,0.49800694012809443,0.3406387375165364,0.15736820261155804
HAM-D,Hamilton Depression Rating Scale,Central tension,0.19347332964004205,0.14906529758894338,0.04440803205109867
HAM-A,Hamilton Anxiety Rating Scale,Foundational claim,0.0866056803119869,0.036505110270506624,0.050100570041480275
HAM-A,Hamilton Anxiety Rating Scale,Evaluative criterion,0.28510133441348295,0.19392044593035462,0.09118088848312833
HAM-A,Hamilton Anxiety Rating Scale,Time horizon,0.30132668145974206,0.12943629357176,0.17189038788798205
HAM-A,Hamilton Anxiety Rating Scale,Adversity,0.2106778086595722,0.07119179423923383,0.13948601442033837
HAM-A,Hamilton Anxiety Rating Scale,Measurement proxies,0.49864456919312095,0.3163949222285234,0.18224964696459756
