year,Foundational claim,Evaluative criterion,Time horizon,Adversity,Measurement proxies,Central tension,aggregate
1900,-0.00348228912243166,-0.01632075602711266,-0.007129458859791478,-0.005311338906050496,-0.02054260379452695,-0.034513421920604095,-0.014549978105086223
1901,-0.0034174423939374015,-0.0169394397154544,-0.006953771650072757,-0.004575218917508156,-0.021656246846340484,-0.03523244235805218,-0.014795760313560896
1902,-0.003517175291831748,-0.016766510271230297,-0.006340737335898173,-0.006206364952499695,-0.020859962670032216,-0.0344876410305038,-0.014696398591999319
1903,-0.0033862859167472182,-0.016252971322959588,-0.00667647290815137,-0.005395320082973361,-0.020462954697508848,-0.03447599928942009,-0.014441667369626746
1904,-0.0033682352023796758,-0.01669052481192241,-0.006411840527585831,-0.004705850914651356,-0.021455965936939658,-0.034522432143802226,-0.014525808256213526
1905,-0.002831356181006612,-0.016168245788065697,-0.005657216495289444,-0.00529392742774975,-0.02011159942719677,-0.03456968857088035,-0.014105338981698102
1906,-0.003054779225930672,-0.0159102577922748,-0.0056361894782938566,-0.004405943803048757,-0.020372013618089945,-0.03433951833397084,-0.013953117041934813
1907,-0.003218865757932546,-0.015793352421626113,-0.00570038479024735,-0.005149181883783514,-0.019662280748717852,-0.03420870726020087,-0.013955462143751374
1908,-0.0032063961008924266,-0.01667849495281463,-0.006159746699515135,-0.005660051498311035,-0.020747600994480232,-0.03478200042506788,-0.014539048445180223
1909,-0.003622268247408266,-0.016498451165464795,-0.006290099160137833,-0.005121602899609331,-0.02045697393461079,-0.03468691774490705,-0.014446052192023011
1910,-0.0031647126673035116,-0.01613207293130942,-0.005809171811095745,-0.004866256251325157,-0.020739660818739354,-0.03440538348431798,-0.014186209660681862
1911,-0.0033168351990349823,-0.01675420452525014,-0.006622825871837828,-0.005813205434851318,-0.02097865091627482,-0.03500221404843506,-0.014747989332614024
1912,-0.0034934207311361496,-0.01665622690699256,-0.0065968416941142105,-0.005296021791914061,-0.02063536096721861,-0.03479252794112053,-0.01457840000541602
1913,-0.0030945547199699892,-0.01655815624368606,-0.00591918660748988,-0.005344008419749673,-0.020431518252813998,-0.03470625180250648,-0.014342279341036013
1914,-0.0031445410237308817,-0.01599697992468574,-0.005703541049970333,-0.005081605741631974,-0.020388510910981643,-0.03441222251929022,-0.014121233528381799
1915,-0.003042789358645787,-0.01634660148772012,-0.005835466570559707,-0.005957415789089513,-0.020192891045834698,-0.03478243825818199,-0.014359600418338636
