scale,year,count
PHQ-9,2000,0
PHQ-9,2001,1
PHQ-9,2002,1
PHQ-9,2003,3
PHQ-9,2004,12
PHQ-9,2005,18
PHQ-9,2006,18
PHQ-9,2007,46
PHQ-9,2008,59
PHQ-9,2009,94
PHQ-9,2010,112
PHQ-9,2011,164
PHQ-9,2012,234
PHQ-9,2013,311
PHQ-9,2014,389
PHQ-9,2015,419
PHQ-9,2016,481
PHQ-9,2017,592
PHQ-9,2018,692
PHQ-9,2019,798
PHQ-9,2020,1176
PHQ-9,2021,1704
PHQ-9,2022,1952
PHQ-9,2023,1884
PHQ-9,2024,2048
PHQ-9,2025,2591
GAD-7,2000,0
GAD-7,2001,0
GAD-7,2002,0
GAD-7,2003,0
GAD-7,2004,0
GAD-7,2005,0
GAD-7,2006,3
GAD-7,2007,2
GAD-7,2008,3
GAD-7,2009,5
GAD-7,2010,13
GAD-7,2011,14
GAD-7,2012,33
GAD-7,2013,35
GAD-7,2014,68
GAD-7,2015,78
GAD-7,2016,108
GAD-7,2017,146
GAD-7,2018,160
GAD-7,2019,230
GAD-7,2020,464
GAD-7,2021,862
GAD-7,2022,995
GAD-7,2023,892
GAD-7,2024,962
GAD-7,2025,1270
DASS-21,2000,0
DASS-21,2001,0
DASS-21,2002,0
DASS-21,2003,0
DASS-21,2004,2
DASS-21,2005,1
DASS-21,2006,3
DASS-21,2007,8
DASS-21,2008,10
DASS-21,2009,16
DASS-21,2010,17
DASS-21,2011,16
DASS-21,2012,19
DASS-21,2013,44
DASS-21,2014,53
DASS-21,2015,54
DASS-21,2016,74
DASS-21,2017,87
DASS-21,2018,107
DASS-21,2019,128
DASS-21,2020,268
DASS-21,2021,489
DASS-21,2022,535
DASS-21,2023,465
DASS-21,2024,504
DASS-21,2025,653
SCL-90-R,2000,41
SCL-90-R,2001,48
SCL-90-R,2002,48
SCL-90-R,2003,54
SCL-90-R,2004,43
SCL-90-R,2005,67
SCL-90-R,2006,89
SCL-90-R,2007,87
SCL-90-R,2008,91
SCL-90-R,2009,91
SCL-90-R,2010,106
SCL-90-R,2011,127
SCL-90-R,2012,117
SCL-90-R,2013,117
SCL-90-R,2014,112
SCL-90-R,2015,133
SCL-90-R,2016,98
SCL-90-R,2017,125
SCL-90-R,2018,113
SCL-90-R,2019,96
SCL-90-R,2020,92
SCL-90-R,2021,119
SCL-90-R,2022,110
SCL-90-R,2023,83
SCL-90-R,2024,81
SCL-90-R,2025,113
PCL-5,2000,2
PCL-5,2001,1
PCL-5,2002,4
PCL-5,2003,1
PCL-5,2004,3
PCL-5,2005,2
PCL-5,2006,1
PCL-5,2007,1
PCL-5,2008,4
PCL-5,2009,3
PCL-5,2010,3
PCL-5,2011,2
PCL-5,2012,6
PCL-5,2013,5
PCL-5,2014,8
PCL-5,2015,15
PCL-5,2016,17
PCL-5,2017,29
PCL-5,2018,51
PCL-5,2019,67
PCL-5,2020,105
PCL-5,2021,183
PCL-5,2022,215
PCL-5,2023,214
PCL-5,2024,224
PCL-5,2025,334
OQ-45,2000,0
OQ-45,2001,0
OQ-45,2002,1
OQ-45,2003,1
OQ-45,2004,1
OQ-45,2005,2
OQ-45,2006,1
OQ-45,2007,0
OQ-45,2008,4
OQ-45,2009,5
OQ-45,2010,12
OQ-45,2011,11
OQ-45,2012,8
OQ-45,2013,9
OQ-45,2014,23
OQ-45,2015,26
OQ-45,2016,24
OQ-45,2017,28
OQ-45,2018,23
OQ-45,2019,21
OQ-45,2020,17
OQ-45,2021,16
OQ-45,2022,18
OQ-45,2023,23
OQ-45,2024,24
OQ-45,2025,18
K10,2000,40
K10,2001,35
K10,2002,24
K10,2003,36
K10,2004,45
K10,2005,46
K10,2006,54
K10,2007,48
K10,2008,63
K10,2009,84
K10,2010,92
K10,2011,100
K10,2012,91
K10,2013,99
K10,2014,134
K10,2015,120
K10,2016,111
K10,2017,116
K10,2018,132
K10,2019,127
K10,2020,216
K10,2021,249
K10,2022,255
K10,2023,230
K10,2024,219
K10,2025,297
SDS,2000,3
SDS,2001,8
SDS,2002,9
SDS,2003,10
SDS,2004,14
SDS,2005,15
SDS,2006,19
SDS,2007,25
SDS,2008,36
SDS,2009,36
SDS,2010,27
SDS,2011,43
SDS,2012,40
SDS,2013,46
SDS,2014,50
SDS,2015,50
SDS,2016,57
SDS,2017,52
SDS,2018,46
SDS,2019,50
SDS,2020,47
SDS,2021,51
SDS,2022,54
SDS,2023,42
SDS,2024,49
SDS,2025,47
WHODAS-2.0,2000,0
WHODAS-2.0,2001,0
WHODAS-2.0,2002,0
WHODAS-2.0,2003,0
WHODAS-2.0,2004,0
WHODAS-2.0,2005,0
WHODAS-2.0,2006,0
WHODAS-2.0,2007,0
WHODAS-2.0,2008,0
WHODAS-2.0,2009,1
WHODAS-2.0,2010,2
WHODAS-2.0,2011,2
WHODAS-2.0,2012,3
WHODAS-2.0,2013,13
WHODAS-2.0,2014,18
WHODAS-2.0,2015,26
WHODAS-2.0,2016,32
WHODAS-2.0,2017,53
WHODAS-2.0,2018,50
WHODAS-2.0,2019,66
WHODAS-2.0,2020,60
WHODAS-2.0,2021,69
WHODAS-2.0,2022,90
WHODAS-2.0,2023,77
WHODAS-2.0,2024,83
WHODAS-2.0,2025,115
EQ-5D,2000,27
EQ-5D,2001,43
EQ-5D,2002,41
EQ-5D,2003,68
EQ-5D,2004,88
EQ-5D,2005,145
EQ-5D,2006,153
EQ-5D,2007,191
EQ-5D,2008,232
EQ-5D,2009,284
EQ-5D,2010,360
EQ-5D,2011,421
EQ-5D,2012,476
EQ-5D,2013,628
EQ-5D,2014,721
EQ-5D,2015,778
EQ-5D,2016,875
EQ-5D,2017,995
EQ-5D,2018,1115
EQ-5D,2019,1201
EQ-5D,2020,1427
EQ-5D,2021,1642
EQ-5D,2022,1818
EQ-5D,2023,1717
EQ-5D,2024,1766
EQ-5D,2025,2060
MDQ,2000,1
MDQ,2001,1
MDQ,2002,4
MDQ,2003,7
MDQ,2004,6
MDQ,2005,13
MDQ,2006,13
MDQ,2007,13
MDQ,2008,19
MDQ,2009,11
MDQ,2010,20
MDQ,2011,26
MDQ,2012,22
MDQ,2013,24
MDQ,2014,25
MDQ,2015,27
MDQ,2016,19
MDQ,2017,19
MDQ,2018,17
MDQ,2019,18
MDQ,2020,20
MDQ,2021,11
MDQ,2022,8
MDQ,2023,17
MDQ,2024,21
MDQ,2025,19
GHQ-12,2000,39
GHQ-12,2001,34
GHQ-12,2002,35
GHQ-12,2003,33
GHQ-12,2004,57
GHQ-12,2005,51
GHQ-12,2006,59
GHQ-12,2007,75
GHQ-12,2008,75
GHQ-12,2009,83
GHQ-12,2010,98
GHQ-12,2011,93
GHQ-12,2012,112
GHQ-12,2013,110
GHQ-12,2014,109
GHQ-12,2015,101
GHQ-12,2016,118
GHQ-12,2017,111
GHQ-12,2018,103
GHQ-12,2019,105
GHQ-12,2020,152
GHQ-12,2021,194
GHQ-12,2022,187
GHQ-12,2023,146
GHQ-12,2024,139
GHQ-12,2025,125
CAPS-5,2000,0
CAPS-5,2001,0
CAPS-5,2002,0
CAPS-5,2003,0
CAPS-5,2004,0
CAPS-5,2005,0
CAPS-5,2006,0
CAPS-5,2007,0
CAPS-5,2008,0
CAPS-5,2009,0
CAPS-5,2010,0
CAPS-5,2011,1
CAPS-5,2012,1
CAPS-5,2013,0
CAPS-5,2014,1
CAPS-5,2015,2
CAPS-5,2016,1
CAPS-5,2017,11
CAPS-5,2018,17
CAPS-5,2019,12
CAPS-5,2020,26
CAPS-5,2021,40
CAPS-5,2022,44
CAPS-5,2023,42
CAPS-5,2024,50
CAPS-5,2025,74
DAST-10,2000,1
DAST-10,2001,1
DAST-10,2002,0
DAST-10,2003,1
DAST-10,2004,1
DAST-10,2005,1
DAST-10,2006,2
DAST-10,2007,2
DAST-10,2008,1
DAST-10,2009,0
DAST-10,2010,2
DAST-10,2011,2
DAST-10,2012,4
DAST-10,2013,3
DAST-10,2014,6
DAST-10,2015,5
DAST-10,2016,3
DAST-10,2017,1
DAST-10,2018,7
DAST-10,2019,3
DAST-10,2020,9
DAST-10,2021,7
DAST-10,2022,9
DAST-10,2023,11
DAST-10,2024,7
DAST-10,2025,9
CAGE,2000,16
CAGE,2001,17
CAGE,2002,5
CAGE,2003,10
CAGE,2004,9
CAGE,2005,16
CAGE,2006,17
CAGE,2007,13
CAGE,2008,15
CAGE,2009,12
CAGE,2010,11
CAGE,2011,14
CAGE,2012,13
CAGE,2013,10
CAGE,2014,16
CAGE,2015,13
CAGE,2016,14
CAGE,2017,10
CAGE,2018,10
CAGE,2019,16
CAGE,2020,12
CAGE,2021,16
CAGE,2022,15
CAGE,2023,7
CAGE,2024,11
CAGE,2025,4
ASSIST,2000,0
ASSIST,2001,0
ASSIST,2002,1
ASSIST,2003,0
ASSIST,2004,1
ASSIST,2005,1
ASSIST,2006,0
ASSIST,2007,0
ASSIST,2008,3
ASSIST,2009,4
ASSIST,2010,2
ASSIST,2011,5
ASSIST,2012,12
ASSIST,2013,10
ASSIST,2014,29
ASSIST,2015,29
ASSIST,2016,35
ASSIST,2017,29
ASSIST,2018,26
ASSIST,2019,20
ASSIST,2020,24
ASSIST,2021,33
ASSIST,2022,35
ASSIST,2023,47
ASSIST,2024,37
ASSIST,2025,43
PHQ-15,2000,0
PHQ-15,2001,0
PHQ-15,2002,1
PHQ-15,2003,0
PHQ-15,2004,0
PHQ-15,2005,1
PHQ-15,2006,3
PHQ-15,2007,7
PHQ-15,2008,10
PHQ-15,2009,10
PHQ-15,2010,8
PHQ-15,2011,14
PHQ-15,2012,13
PHQ-15,2013,25
PHQ-15,2014,29
PHQ-15,2015,24
PHQ-15,2016,27
PHQ-15,2017,48
